JANUS CAPITAL MANAGEMENT LLC
20160930
nameOfIssuer	titleOfClass	cusip	value	shrsOrPrnAmt - sshPrnamt	shrsOrPrnAmt - sshPrnamtType	investmentDiscretion	otherManager	votingAuthority - Sole	votingAuthority - Shared	votingAuthority - None
CAMPBELL SOUP CO	COM	134429109	164959	3015712	SH	DFND	1	2133312	0	882400
CAMPBELL SOUP CO	COM	134429109	25	460	SH	SOLE	 	160	0	300
CANADIAN NATURAL RESOURCES	COM	136385101	68190	2128384	SH	SOLE	 	2128284	0	0
CANADIAN PACIFIC RAILWAY LTD	COM	13645T100	138926	909799	SH	SOLE	 	870914	0	38785
CAPITAL ONE FINANCIAL CORP	COM	14040H105	8347	116200	SH	DFND	1	65400	0	50800
CAPITAL SENIOR LIVING CORP	COM	140475104	20341	1210794	SH	SOLE	 	1132521	0	78273
CAPSTEAD MORTGAGE CORP	COM	14067E506	1539	163200	SH	SOLE	 	163200	0	0
CARDINAL HEALTH INC	COM	14149Y108	170931	2199883	SH	DFND	1	1666083	0	533800
CARE.COM INC	COM	141633107	4864	488356	SH	SOLE	 	488356	0	0
CARLISLE COS INC	COM	142339100	5662	55200	SH	DFND	1	29200	0	26000
CARMAX INC	COM	143130102	1350	25300	SH	DFND	1	8700	0	16600
CARNIVAL CORP	COM	143658300	7997	163800	SH	DFND	1	116300	0	47500
CARNIVAL CORP	COM	143658300	70331	1440620	SH	SOLE	 	1440620	0	0
CARTERS INC	COM	146229109	4353	50200	SH	DFND	1	29500	0	20700
CARTERS INC	COM	146229109	249576	2878282	SH	SOLE	 	2691408	0	186874
CASEYS GENERAL STORES INC	COM	147528103	3220	26800	SH	DFND	1	13600	0	13200
CASEYS GENERAL STORES INC	COM	147528103	99963	831989	SH	SOLE	 	773156	0	58833
CATALENT INC	COM	148806102	144708	5600155	SH	SOLE	 	5233145	0	367010
CATERPILLAR INC	COM	149123101	26469	298178	SH	DFND	1	237178	0	61000
CATERPILLAR INC	COM	149123101	2	20	SH	SOLE	 	20	0	0
CBOE HOLDINGS INC	COM	12503M108	5862	90400	SH	DFND	1	84500	0	5900
CBOE HOLDINGS INC	COM	12503M108	52	803	SH	SOLE	 	803	0	0
CBRE GROUP INC - A	COM	12504L109	1192	42604	SH	DFND	1	24004	0	18600
CBRE GROUP INC - A	COM	12504L109	251196	8977698	SH	SOLE	 	8777492	0	200206
CBS CORP-CLASS B NON VOTING	COM	124857202	59356	1084320	SH	DFND	1	805220	0	279100
CBS CORP-CLASS B NON VOTING	COM	124857202	1	13	SH	SOLE	 	13	0	0
CDK GLOBAL INC	COM	12508E101	3168	55232	SH	DFND	1	30166	0	25066
CDW CORP/DE	COM	12514G108	15713	343600	SH	DFND	1	184700	0	158900
CEB INC	COM	125134106	97014	1781054	SH	SOLE	 	1605960	0	175094
CEDAR FAIR LP	COM	150185106	28972	505710	SH	SOLE	 	467901	0	37809
CELANESE CORP-SERIES A	COM	150870103	24893	374000	SH	DFND	1	244700	0	129300
CELGENE CORP	COM	151020104	10919	104462	SH	DFND	1	59662	0	44800
CELGENE CORP	COM	151020104	965169	9233825	SH	SOLE	 	8650576	0	564216
CENTENE CORP	COM	15135B101	13196	197080	SH	DFND	1	141474	0	55606
CENTERPOINT ENERGY INC	COM	15189T107	45890	1975451	SH	DFND	1	1594851	0	380600
CENTERPOINT ENERGY INC	COM	15189T107	2	98	SH	SOLE	 	98	0	0
CENTURYLINK INC	COM	156700106	7444	271364	SH	DFND	1	198364	0	73000
CENTURYLINK INC	COM	156700106	6	223	SH	SOLE	 	223	0	0
CERNER CORP	COM	156782104	2871	46500	SH	DFND	1	28200	0	18300
CF INDUSTRIES HOLDINGS INC	COM	125269100	1030	42297	SH	DFND	1	18497	0	23800
CF INDUSTRIES HOLDINGS INC	COM	125269100	2	77	SH	SOLE	 	77	0	0
CHANNELADVISOR CORP	COM	159179100	30130	2330276	SH	SOLE	 	1823536	0	506740
CHARLES RIVER LABORATORIES	COM	159864107	9326	111900	SH	DFND	1	56600	0	55300
CHARTER COMMUNICATIONS INC-A	COM	16119P108	69329	256804	SH	DFND	1	197405	0	59399
CHATHAM LODGING TRUST	COM	16208T102	10401	540286	SH	SOLE	 	540286	0	0
CHECK POINT SOFTWARE TECH	COM	M22465104	1055	13600	SH	DFND	1	13600	0	0
CHENIERE ENERGY INC	COM	16411R208	855	19600	SH	DFND	1	6900	0	12700
CHESAPEAKE ENERGY CORP	COM	165167107	532	84869	SH	DFND	1	25869	0	59000
CHESAPEAKE ENERGY CORP	COM	165167107	2	338	SH	SOLE	 	338	0	0
CHEVRON CORP	COM	166764100	115891	1126031	SH	DFND	1	816764	0	309267
CHEVRON CORP	COM	166764100	172836	1679312	SH	SOLE	 	1599147	0	80165
CHIMERA INVESTMENT CORP	COM	16934Q208	3099	194300	SH	DFND	1	110600	0	83700
CHIPOTLE MEXICAN GRILL INC	COM	169656105	11601	27394	SH	DFND	1	25294	0	2100
CHIPOTLE MEXICAN GRILL INC	COM	169656105	15	36	SH	SOLE	 	36	0	0
CHUBB LTD	COM	H1467J104	92113	733089	SH	DFND	1	584507	0	148582
CHURCH  DWIGHT CO INC	COM	171340102	52516	1095912	SH	DFND	1	603112	0	492800
CHURCH  DWIGHT CO INC	COM	171340102	11	238	SH	SOLE	 	238	0	0
CIA DE MINAS BUENAVENTUR-ADR	ADR	204448104	1100	79500	SH	DFND	1	70600	0	8900
CIGNA CORP	COM	125509109	165801	1272258	SH	DFND	1	933252	0	339006
CIGNA CORP	COM	125509109	26	199	SH	SOLE	 	199	0	0
CIMAREX ENERGY CO	COM	171798101	23111	171993	SH	DFND	1	142393	0	29600
CIMAREX ENERGY CO	COM	171798101	5	36	SH	SOLE	 	36	0	0
CIMPRESS NV	COM	N20146101	258650	2556332	SH	SOLE	 	2394498	0	161834
CINCINNATI FINANCIAL CORP	COM	172062101	136669	1812100	SH	DFND	1	1412500	0	399600
CINEMARK HOLDINGS INC	COM	17243V102	433	11300	SH	DFND	1	100	0	11200
CINTAS CORP	COM	172908105	108941	967503	SH	DFND	1	720212	0	247291
CINTAS CORP	COM	172908105	1	13	SH	SOLE	 	13	0	0
CISCO SYSTEMS INC	COM	17275R102	29599	933143	SH	DFND	1	514874	0	418269
CISCO SYSTEMS INC	COM	17275R102	23533	741895	SH	SOLE	 	741895	0	0
CIT GROUP INC	COM	125581801	356	9800	SH	DFND	1	2700	0	7100
CITIGROUP INC	COM	172967424	15488	327919	SH	DFND	1	144793	0	183126
CITIGROUP INC	COM	172967424	69142	1463925	SH	SOLE	 	1410798	0	53127
CITIZENS FINANCIAL GROUP	COM	174610105	2148	86912	SH	DFND	1	58012	0	28900
CITIZENS FINANCIAL GROUP	COM	174610105	41589	1683084	SH	SOLE	 	1673515	0	9569
CITRIX SYSTEMS INC	COM	177376100	14141	165939	SH	DFND	1	112939	0	53000
CITRIX SYSTEMS INC	COM	177376100	18	210	SH	SOLE	 	210	0	0
CLARCOR INC	COM	179895107	91307	1404716	SH	SOLE	 	1308914	0	95802
CLEAN HARBORS INC	COM	184496107	321	6700	SH	DFND	1	3200	0	3500
CLEAN HARBORS INC	COM	184496107	50353	1049455	SH	SOLE	 	975581	0	73874
CLOROX COMPANY	COM	189054109	243308	1943663	SH	DFND	1	1463627	0	480036
CLOROX COMPANY	COM	189054109	19	150	SH	SOLE	 	50	0	100
CLUBCORP HOLDINGS INC	COM	18948M108	2609	180276	SH	SOLE	 	180276	0	0
CME GROUP INC	COM	12572Q105	107118	1024856	SH	DFND	1	837456	0	187400
CME GROUP INC	COM	12572Q105	451696	4321621	SH	SOLE	 	4321621	0	0
CMS ENERGY CORP	COM	125896100	124668	2967583	SH	DFND	1	2231360	0	736223
CMS ENERGY CORP	COM	125896100	14	323	SH	SOLE	 	23	0	300
COACH INC	COM	189754104	104426	2856300	SH	DFND	1	2237500	0	618800
COBALT INTERNATIONAL ENERGY	COM	19075F106	2371	1912281	SH	SOLE	 	1912281	0	0
COCA-COLA CO/THE	COM	191216100	139839	3304323	SH	DFND	1	2185571	0	1118752
COCA-COLA CO/THE	COM	191216100	442104	10446644	SH	SOLE	 	10147421	0	299223
COGNEX CORP	COM	192422103	2754	52100	SH	DFND	1	23000	0	29100
COGNIZANT TECH SOLUTIONS-A	COM	192446102	3825	80181	SH	DFND	1	42781	0	37400
COGNIZANT TECH SOLUTIONS-A	COM	192446102	71362	1495733	SH	SOLE	 	1100635	0	395098
COHEN  STEERS CLOSED-END OP	COM	19248P106	1770	144001	SH	SOLE	 	144001	0	0
COHEN  STEERS INFRASTRUCTUR	COM	19248A109	1168	54226	SH	SOLE	 	54226	0	0
COHEN  STEERS REIT  PR	COM	19247X100	2607	129357	SH	SOLE	 	129357	0	0
COLFAX CORP	COM	194014106	603	19200	SH	DFND	1	11500	0	7700
COLGATE-PALMOLIVE CO	COM	194162103	51921	700314	SH	DFND	1	340714	0	359600
COLGATE-PALMOLIVE CO	COM	194162103	100260	1352309	SH	SOLE	 	1316184	0	36125
COLONY CAPITAL INC - A	COM	19624R106	152692	8375870	SH	SOLE	 	7720753	0	655117
COLONY STARWOOD HOMES	COM	19625X102	2492	86840	SH	SOLE	 	86840	0	0
COMCAST CORP-CLASS A	COM	20030N101	268164	4042261	SH	DFND	1	2819234	0	1223027
COMCAST CORP-CLASS A	COM	20030N101	1179276	17776205	SH	SOLE	 	17508195	0	268010
COMERICA INC	COM	200340107	18469	390300	SH	DFND	1	314300	0	76000
COMMERCE BANCSHARES INC	COM	200525103	7687	156054	SH	DFND	1	78008	0	78046
COMMSCOPE HOLDING CO INC	COM	20337X109	172	5700	SH	DFND	1	100	0	5600
COMMSCOPE HOLDING CO INC	COM	20337X109	90796	3015460	SH	SOLE	 	2350543	0	664917
COMMUNICATIONS SALES  LE	COM	20341J104	5569	177300	SH	DFND	1	61400	0	115900
COMPASS MINERALS INTERNATION	COM	20451N101	1128	15300	SH	DFND	1	13100	0	2200
COMPUTER SCIENCES CORP	COM	205363104	7931	151900	SH	DFND	1	57300	0	94600
CONAGRA FOODS INC	COM	205887102	119605	2538837	SH	DFND	1	1984841	0	553996
CONAGRA FOODS INC	COM	205887102	3	55	SH	SOLE	 	55	0	0
CONCHO RESOURCES INC	COM	20605P101	18482	134559	SH	DFND	1	111459	0	23100
CONCHO RESOURCES INC	COM	20605P101	9	62	SH	SOLE	 	62	0	0
CONOCOPHILLIPS	COM	20825C104	7692	176940	SH	DFND	1	88290	0	88650
CONOCOPHILLIPS	COM	20825C104	17	388	SH	SOLE	 	388	0	0
CONSOL ENERGY INC	COM	20854P109	7636	397700	SH	DFND	1	177900	0	219800
CONSOLIDATED EDISON INC	COM	209115104	184443	2449441	SH	DFND	1	1728441	0	721000
CONSOLIDATED EDISON INC	COM	209115104	39	516	SH	SOLE	 	16	0	500
CONSOLIDATED-TOMOKA LAND	CAL	210226AB2	977	1000000	SH	SOLE	 	1000000	0	0
CONSTELLATION BRANDS INC-A	COM	21036P108	397313	2386410	SH	DFND	1	1788542	0	597868
CONSTELLATION BRANDS INC-A	COM	21036P108	1	6	SH	SOLE	 	6	0	0
CONSUMER STAPLES SPDR	COM	81369Y308	381	7155	SH	DFND	1	7155	0	0
CONSUMER STAPLES SPDR	COM	81369Y308	281	5284	SH	SOLE	 	5284	0	0
CONTINENTAL RESOURCES INC/OK	COM	212015101	18571	357400	SH	DFND	1	249100	0	108300
COOPER COS INC/THE	COM	216648402	7224	40300	SH	DFND	1	34700	0	5600
COOPER COS INC/THE	COM	216648402	124384	693876	SH	SOLE	 	649191	0	44685
COPA HOLDINGS SA-CLASS A	COM	P31076105	413	4700	SH	DFND	1	2700	0	2000
COPART INC	COM	217204106	16395	306100	SH	DFND	1	137400	0	168700
COPART INC	COM	217204106	128	2388	SH	SOLE	 	2388	0	0
CORE LABORATORIES N.V.	COM	N22717107	11896	105900	SH	DFND	1	56300	0	49600
CORE LABORATORIES N.V.	COM	N22717107	22	200	SH	SOLE	 	0	0	200
CORELOGIC INC	COM	21871D103	490	12500	SH	DFND	1	100	0	12400
CORNING INC	COM	219350105	35246	1490337	SH	DFND	1	1211237	0	279100
CORNING INC	COM	219350105	55	2310	SH	SOLE	 	2310	0	0
CORPORATE OFFICE PROPERTIES	COM	22002T108	3881	136900	SH	DFND	1	58100	0	78800
CORRECTIONS CORP OF AMERICA	COM	22025Y407	264	19000	SH	DFND	1	12500	0	6500
COSTAR GROUP INC	COM	22160N109	4677	21600	SH	DFND	1	8900	0	12700
COSTAR GROUP INC	COM	22160N109	462998	2139178	SH	SOLE	 	1946240	0	186164
COSTCO WHOLESALE CORP	COM	22160K105	142989	937574	SH	DFND	1	652711	0	284863
COSTCO WHOLESALE CORP	COM	22160K105	565510	3708292	SH	SOLE	 	3617594	0	81819
COTY INC-CL A	COM	222070203	432	18400	SH	DFND	1	200	0	18200
CR BARD INC	COM	067383109	77994	347754	SH	DFND	1	240554	0	107200
CR BARD INC	COM	067383109	13	60	SH	SOLE	 	60	0	0
CRANE CO	COM	224399105	1588	25200	SH	DFND	1	13400	0	11800
CREDICORP LTD	COM	G2519Y108	441	2900	SH	DFND	1	1200	0	1700
CREE INC	COM	225447101	1510	58700	SH	DFND	1	17200	0	41500
CROWN CASTLE INTL CORP	COM	22822V101	45422	482131	SH	DFND	1	379731	0	102400
CROWN CASTLE INTL CORP	COM	22822V101	533185	5660044	SH	SOLE	 	5308552	0	336591
CROWN HOLDINGS INC	COM	228368106	959	16800	SH	DFND	1	6600	0	10200
CROWN HOLDINGS INC	COM	228368106	332570	5825333	SH	SOLE	 	5491243	0	334090
CSRA INC	COM	12650T104	281	10451	SH	DFND	1	2851	0	7600
CSRA INC	COM	12650T104	7	254	SH	SOLE	 	254	0	0
CST BRANDS INC	COM	12646R105	616	12800	SH	DFND	1	100	0	12700
CSX CORP	COM	126408103	3924	128646	SH	DFND	1	58946	0	69700
CSX CORP	COM	126408103	291213	9547961	SH	SOLE	 	9385617	0	144346
CTRIP.COM INTERNATIONAL-ADR	ADR	22943F100	84	1800	SH	DFND	1	1800	0	0
CTRIP.COM INTERNATIONAL-ADR	ADR	22943F100	263594	5660854	SH	SOLE	 	5330217	0	317368
CTS CORP	COM	126501105	35731	1921000	SH	SOLE	 	1786897	0	134103
CUMMINS INC	COM	231021106	4811	37540	SH	DFND	1	26140	0	11400
CUMMINS INC	COM	231021106	2	15	SH	SOLE	 	15	0	0
CVS HEALTH CORP	COM	126650100	342584	3849690	SH	DFND	1	2828904	0	1020786
CVS HEALTH CORP	COM	126650100	4	50	SH	SOLE	 	50	0	0
CYRUSONE INC	COM	23283R100	11726	246500	SH	DFND	1	127000	0	119500
DANAHER CORP	COM	235851102	67894	866103	SH	DFND	1	626503	0	239600
DANAHER CORP	COM	235851102	0	6	SH	SOLE	 	6	0	0
DARDEN RESTAURANTS INC	COM	237194105	28751	468875	SH	DFND	1	360575	0	108300
DARDEN RESTAURANTS INC	COM	237194105	21	340	SH	SOLE	 	340	0	0
DAVITA INC	COM	23918K108	16815	254499	SH	DFND	1	224699	0	29800
DAVITA INC	COM	23918K108	61692	933731	SH	SOLE	 	836750	0	96981
DBV TECHNOLOGIES SA-SPON ADR	ADR	23306J101	100233	2758929	SH	SOLE	 	2390227	0	368702
DCP MIDSTREAM PARTNERS LP	COM	23311P100	95619	2706444	SH	SOLE	 	2623672	0	82772
DCT INDUSTRIAL TRUST INC	COM	233153204	4816	99200	SH	DFND	1	32500	0	66700
DDR CORP	COM	23317H102	1316	75500	SH	DFND	1	27500	0	48000
DEERE  CO	COM	244199105	9682	113433	SH	DFND	1	94133	0	19300
DEERE  CO	COM	244199105	52527	615436	SH	SOLE	 	615436	0	0
DELL TECHNOLOGIES INC-CL V	COM	24703L103	1879	39305	SH	DFND	1	29118	0	10187
DELL TECHNOLOGIES INC-CL V	COM	24703L103	13929	291401	SH	SOLE	 	291401	0	0
DELPHI AUTOMOTIVE PLC	COM	G27823106	53390	748594	SH	DFND	1	610449	0	138145
DELPHI AUTOMOTIVE PLC	COM	G27823106	96494	1352968	SH	SOLE	 	1301312	0	51656
DELTA AIR LINES INC	COM	247361702	39738	1009600	SH	DFND	1	781900	0	227700
DENTSPLY SIRONA INC	COM	24906P109	125152	2105873	SH	DFND	1	1634594	0	471279
DENTSPLY SIRONA INC	COM	24906P109	5	78	SH	SOLE	 	78	0	0
DEUTSCHE X-TRACKERS HARVEST	ETD	233051879	743	30247	SH	DFND	1	30247	0	0
DEUTSCHE X-TRACKERS HARVEST	ETD	233051879	432	17591	SH	SOLE	 	17591	0	0
DEVON ENERGY CORP	COM	25179M103	6052	137209	SH	DFND	1	112509	0	24700
DEVON ENERGY CORP	COM	25179M103	5	121	SH	SOLE	 	121	0	0
DEXCOM INC	COM	252131107	561	6400	SH	DFND	1	2100	0	4300
DEXCOM INC	COM	252131107	155937	1779436	SH	SOLE	 	1636379	0	137870
DIAMONDBACK ENERGY INC	COM	25278X109	9644	99900	SH	DFND	1	30900	0	69000
DICKS SPORTING GOODS INC	COM	253393102	442	7800	SH	DFND	1	2800	0	5000
DICKS SPORTING GOODS INC	COM	253393102	158	2793	SH	SOLE	 	2793	0	0
DIGITAL REALTY TRUST INC	COM	253868103	202369	2083704	SH	DFND	1	1494474	0	589230
DIGITAL REALTY TRUST INC	COM	253868103	129	1330	SH	SOLE	 	1130	0	200
DIMENSION THERAPEUTICS INC	COM	25433V105	9324	1166913	SH	SOLE	 	1052306	0	114607
DIPLOMAT PHARMACY INC	COM	25456K101	176746	6310077	SH	SOLE	 	5817367	0	492710
DISCOVER FINANCIAL SERVICES	COM	254709108	47130	833417	SH	DFND	1	624102	0	209315
DISCOVERY COMMUNICATIONS-A	COM	25470F104	406	15100	SH	DFND	1	7500	0	7600
DISCOVERY COMMUNICATIONS-C	COM	25470F302	945	35911	SH	DFND	1	22511	0	13400
DISCOVERY COMMUNICATIONS-C	COM	25470F302	37	1404	SH	SOLE	 	1404	0	0
DISH NETWORK CORP-A	COM	25470M109	1474	26900	SH	DFND	1	15200	0	11700
DOLBY LABORATORIES INC-CL A	COM	25659T107	3464	63800	SH	DFND	1	16800	0	47000
DOLLAR GENERAL CORP	COM	256677105	30221	431792	SH	DFND	1	254692	0	177100
DOLLAR GENERAL CORP	COM	256677105	178917	2556320	SH	SOLE	 	2503651	0	52669
DOLLAR TREE INC	COM	256746108	27164	344149	SH	DFND	1	270977	0	73172
DOLLAR TREE INC	COM	256746108	705111	8933358	SH	SOLE	 	8651927	0	281431
DOMINION RESOURCES INC/VA	COM	25746U109	19766	266138	SH	DFND	1	147538	0	118600
DOMINION RESOURCES INC/VA	COM	25746U109	2	30	SH	SOLE	 	30	0	0
DOMINOS PIZZA INC	COM	25754A201	18313	120600	SH	DFND	1	74800	0	45800
DOMINOS PIZZA INC	COM	25754A201	127	835	SH	SOLE	 	835	0	0
DONALDSON CO INC	COM	257651109	1030	27600	SH	DFND	1	8900	0	18700
DOUGLAS EMMETT INC	COM	25960P109	4007	109400	SH	DFND	1	42200	0	67200
DOVER CORP	COM	260003108	14824	201300	SH	DFND	1	167300	0	34000
DOVER CORP	COM	260003108	18503	251267	SH	SOLE	 	231274	0	19993
DOW CHEMICAL CO/THE	COM	260543103	51397	991640	SH	DFND	1	811040	0	180600
DOW CHEMICAL CO/THE	COM	260543103	8	162	SH	SOLE	 	162	0	0
DR HORTON INC	COM	23331A109	60647	2008194	SH	DFND	1	1568794	0	439400
DR HORTON INC	COM	23331A109	1	36	SH	SOLE	 	36	0	0
DR PEPPER SNAPPLE GROUP INC	COM	26138E109	249122	2728310	SH	DFND	1	2027310	0	701000
DR PEPPER SNAPPLE GROUP INC	COM	26138E109	18	198	SH	SOLE	 	198	0	0
DRIL-QUIP INC	COM	262037104	111	2000	SH	DFND	1	200	0	1800
DRIL-QUIP INC	COM	262037104	59077	1059870	SH	SOLE	 	992829	0	67041
DST SYSTEMS INC	COM	233326107	12900	109400	SH	DFND	1	51800	0	57600
DTE ENERGY COMPANY	COM	233331107	91421	4783832	SH	DFND	1	759186	0	216806
DTE ENERGY COMPANY	COM	233331107	4	48	SH	SOLE	 	48	0	0
DU PONT (E.I.) DE NEMOURS	COM	263534109	24444	365000	SH	DFND	1	252765	0	112235
DU PONT (E.I.) DE NEMOURS	COM	263534109	34475	514784	SH	SOLE	 	514784	0	0
DUFF  PHELPS GLOBAL UTILITY	COM	26433C105	2239	131101	SH	SOLE	 	131101	0	0
DUKE ENERGY CORP	COM	26441C204	61896	773317	SH	DFND	1	447687	0	325630
DUKE ENERGY CORP	COM	26441C204	34	419	SH	SOLE	 	19	0	400
DUKE REALTY CORP	COM	264411505	45835	1677100	SH	DFND	1	1154800	0	522300
DUN  BRADSTREET CORP	COM	26483E100	22132	162000	SH	DFND	1	122700	0	39300
DUNKIN BRANDS GROUP INC	COM	265504100	3630	69700	SH	DFND	1	67400	0	2300
DUNKIN BRANDS GROUP INC	COM	265504100	437790	8406113	SH	SOLE	 	7991539	0	414574
E*TRADE FINANCIAL CORP	COM	269246401	13600	467034	SH	DFND	1	400434	0	66600
E*TRADE FINANCIAL CORP	COM	269246401	139306	4783832	SH	SOLE	 	4169933	0	613601
EAGLE MATERIALS INC	COM	26969P108	209	2700	SH	DFND	1	0	0	2700
EAGLE MATERIALS INC	COM	26969P108	102	1321	SH	SOLE	 	1321	0	0
EAGLE PHARMACEUTICALS INC	COM	269796108	109282	1561176	SH	SOLE	 	1408258	0	152918
EAST WEST BANCORP INC	COM	27579R104	562	15300	SH	DFND	1	4600	0	10700
EASTERLY GOVERNMENT PROPERTI	COM	27616P103	22350	1171383	SH	SOLE	 	1083109	0	88274
EASTMAN CHEMICAL CO	COM	277432100	12608	186287	SH	DFND	1	155187	0	31100
EASTMAN CHEMICAL CO	COM	277432100	2	33	SH	SOLE	 	33	0	0
EATON CORP PLC	COM	G29183103	33531	510292	SH	DFND	1	414692	0	95600
EATON CORP PLC	COM	G29183103	2	35	SH	SOLE	 	35	0	0
EATON VANCE CORP	COM	278265103	8954	229300	SH	DFND	1	163300	0	66000
EATON VANCE CORP	COM	278265103	59301	1518591	SH	SOLE	 	1408870	0	109721
EATON VANCE LTD DURATION FND	COM	27828H105	1339	97677	SH	SOLE	 	97677	0	0
EBAY INC	COM	278642103	10238	311178	SH	DFND	1	171278	0	139900
ECHO GLOBAL LOGISTICS INC	COM	27875T101	15845	687112	SH	SOLE	 	635525	0	51587
ECOLAB INC	COM	278865100	86387	709716	SH	DFND	1	554516	0	155200
ECOLAB INC	COM	278865100	1	9	SH	SOLE	 	9	0	0
EDGE THERAPEUTICS INC	COM	279870109	23706	2277220	SH	SOLE	 	2053434	0	223786
EDGEWELL PERSONAL CARE CO	COM	28035Q102	517	6500	SH	DFND	1	3200	0	3300
EDGEWELL PERSONAL CARE CO	COM	28035Q102	63458	798014	SH	SOLE	 	788200	0	9814
EDISON INTERNATIONAL	COM	281020107	96550	1336336	SH	DFND	1	979336	0	357000
EDISON INTERNATIONAL	COM	281020107	15	214	SH	SOLE	 	14	0	200
EDWARDS LIFESCIENCES CORP	COM	28176E108	248608	2062112	SH	DFND	1	1535000	0	527112
EDWARDS LIFESCIENCES CORP	COM	28176E108	14	116	SH	SOLE	 	116	0	0
ELECTRONIC ARTS INC	COM	285512109	109527	1282515	SH	DFND	1	984715	0	297800
ELECTRONIC ARTS INC	COM	285512109	17	201	SH	SOLE	 	201	0	0
ELI LILLY  CO	COM	532457108	54456	678494	SH	DFND	1	346594	0	331900
ELI LILLY  CO	COM	532457108	654179	8150712	SH	SOLE	 	7717209	0	433503
EMERSON ELECTRIC CO	COM	291011104	37654	690773	SH	DFND	1	543573	0	147200
EMERSON ELECTRIC CO	COM	291011104	0	7	SH	SOLE	 	7	0	0
EMPIRE STATE REALTY TRUST-A	COM	292104106	497	23700	SH	DFND	1	17800	0	5900
ENDO INTERNATIONAL PLC	COM	G30401106	1342	66600	SH	DFND	1	50500	0	16100
ENDOLOGIX INC	COM	29266S106	95049	7425713	SH	SOLE	 	6900912	0	524801
ENDURANCE SPECIALTY HOLDINGS	COM	G30397106	2821	43100	SH	DFND	1	20800	0	22300
ENERGEN CORP	COM	29265N108	606	10500	SH	DFND	1	6600	0	3900
ENERGIZER HOLDINGS INC	COM	29272W109	4307	86200	SH	DFND	1	48400	0	37800
ENERGIZER HOLDINGS INC	COM	29272W109	65978	1320615	SH	SOLE	 	1302055	0	18560
ENERGY SELECT SECTOR SPDR	COM	81369Y506	229	3240	SH	DFND	1	3240	0	0
ENERGY SELECT SECTOR SPDR	COM	81369Y506	91	1293	SH	SOLE	 	1293	0	0
ENERSYS	COM	29275Y102	148585	2147488	SH	SOLE	 	2010486	0	137002
ENSCO PLC-CL A	COM	G3157S106	158	18600	SH	DFND	1	300	0	18300
ENTERGY CORP	COM	29364G103	63525	827900	SH	DFND	1	634000	0	193900
ENTERGY CORP	COM	29364G103	23	300	SH	SOLE	 	0	0	300
ENTERPRISE PRODUCTS PARTNERS	COM	293792107	231582	8381513	SH	SOLE	 	8381513	0	0
ENVESTNET INC	COM	29404K106	125943	3455239	SH	SOLE	 	3123214	0	332025
ENVISION HEALTHCARE HOLDINGS	COM	29413U103	334	15000	SH	DFND	1	7100	0	7900
ENVISION HEALTHCARE HOLDINGS	COM	29413U103	108261	4861291	SH	SOLE	 	4404336	0	456955
ENZYMOTEC LTD	COM	M4059L101	2031	290111	SH	SOLE	 	290111	0	0
EOG RESOURCES INC	COM	26875P101	12637	130669	SH	DFND	1	83669	0	47000
EOG RESOURCES INC	COM	26875P101	3	27	SH	SOLE	 	27	0	0
EPR PROPERTIES	COM	26884U109	6976	88600	SH	DFND	1	32900	0	55700
EPR PROPERTIES	COM	26884U109	85	1074	SH	SOLE	 	1074	0	0
EQT CORP	COM	26884L109	13483	185664	SH	DFND	1	110564	0	75100
EQT CORP	COM	26884L109	19	258	SH	SOLE	 	258	0	0
EQUIFAX INC	COM	294429105	226929	1686200	SH	DFND	1	1224100	0	462100
EQUIFAX INC	COM	294429105	111717	830114	SH	SOLE	 	750440	0	79674
EQUINIX INC	COM	29444U700	280795	779445	SH	DFND	1	581833	0	197612
EQUINIX INC	COM	29444U700	32781	90995	SH	SOLE	 	60912	0	30083
EQUITY COMMONWEALTH	COM	294628102	1360	45000	SH	DFND	1	26400	0	18600
EQUITY LIFESTYLE PROPERTIES	COM	29472R108	27206	352500	SH	DFND	1	194700	0	157800
EQUITY ONE INC	COM	294752100	1203	39300	SH	DFND	1	1000	0	38300
EQUITY RESIDENTIAL	COM	29476L107	117225	1822244	SH	DFND	1	1376400	0	445844
EQUITY RESIDENTIAL	COM	29476L107	13	200	SH	SOLE	 	0	0	200
ERIE INDEMNITY COMPANY-CL A	COM	29530P102	8584	84100	SH	DFND	1	43800	0	40300
ESSEX PROPERTY TRUST INC	COM	297178105	78866	354134	SH	DFND	1	267236	0	86898
ESSEX PROPERTY TRUST INC	COM	297178105	83	372	SH	SOLE	 	272	0	100
ESTEE LAUDER COMPANIES-CL A	COM	518439104	43394	490000	SH	DFND	1	313300	0	176700
ESTEE LAUDER COMPANIES-CL A	COM	518439104	135840	1533847	SH	SOLE	 	1425686	0	108161
ETSY INC	COM	29786A106	15062	1054766	SH	SOLE	 	657939	0	396827
EURONET WORLDWIDE INC	COM	298736109	3658	44700	SH	DFND	1	24700	0	20000
EURONET WORLDWIDE INC	COM	298736109	229217	2801135	SH	SOLE	 	2618551	0	182584
EVEREST RE GROUP LTD	COM	G3223R108	38721	203828	SH	DFND	1	93652	0	110176
EVERSOURCE ENERGY	COM	30040W108	82066	1514686	SH	DFND	1	1076886	0	437800
EVERSOURCE ENERGY	COM	30040W108	18	334	SH	SOLE	 	134	0	200
